nombre	provincia	comunidad	y	x	huso	municipio
PLAYA A FRAGATA	Coruña (A)	Galicia	4820835	556772	29	Ferrol
PLAYA ESMELLE	Coruña (A)	Galicia	4820333	556808	29	Ferrol
PLAYA O VILAR - FERROL	Coruña (A)	Galicia	4821211	556435	29	Ferrol
PLAYA SANTA COMBA	Coruña (A)	Galicia	4823148.45	557596.46	29	Ferrol
PLAYA PONZOS	Coruña (A)	Galicia	4823041.05	559239.15	29	Ferrol
PLAYA SAN FELIPE	Coruña (A)	Galicia	4813316.15	558521.05	29	Ferrol
PLAYA A CABANA	Coruña (A)	Galicia	4815719	560486	29	Ferrol
PLAYA SARDIÑEIRO	Coruña (A)	Galicia	4754595.07	481237.9	29	Fisterra
PLAYA LANGOSTEIRA	Coruña (A)	Galicia	4752785.62	479507.49	29	Fisterra
PLAYA RIVEIRA	Coruña (A)	Galicia	4757986.09	478561.28	29	Fisterra
PLAYA CORVEIRO	Coruña (A)	Galicia	4750985.88	477476.94	29	Fisterra
PLAYA LAXE	Coruña (A)	Galicia	4785429.86	499896.17	29	Laxe
PLAYA TRABA	Coruña (A)	Galicia	4782015.53	495898.16	29	Laxe
PLAYA ARNADO - BOAÑO - TRABA	Coruña (A)	Galicia	4784177.29	497398.03	29	Laxe
PLAYA SOESTO	Coruña (A)	Galicia	4785012.73	498497.49	29	Laxe
PLAYA CAIÓN	Coruña (A)	Galicia	4796196.41	531643.35	29	Laracha (A)
PLAYA PRAIA MAIOR	Coruña (A)	Galicia	4797039.33	515216.83	29	Malpica de Bergantiños
PLAYA ESTEIRO - MAÑON	Coruña (A)	Galicia	4845202.43	602912.02	29	Mañón
PLAYA BARES	Coruña (A)	Galicia	4847384.06	606699.14	29	Mañón
PLAYA VILELA	Coruña (A)	Galicia	4845547.74	605612.06	29	Mañón
PLAYA ALAMEDA	Coruña (A)	Galicia	4798904.54	564642.51	29	Miño
PLAYA MIÑO GRANDE	Coruña (A)	Galicia	4801477.01	564262.61	29	Miño
PLAYA PERBES - ANDAHÍO - MIÑO	Coruña (A)	Galicia	4803082.33	563741.38	29	Miño
PLAYA A RIBEIRA - MIÑO PEQUENA	Coruña (A)	Galicia	4800152	564090	29	Miño
PLAYA A CRUZ	Coruña (A)	Galicia	4772345.01	482839.3	29	Muxía
PLAYA AREA MAIOR	Coruña (A)	Galicia	4771021.15	484643.45	29	Muxía
PLAYA O LAGO - MUXÍA	Coruña (A)	Galicia	4772905	486530	29	Muxía
PLAYA NEMIÑA	Coruña (A)	Galicia	4762116.75	478779.02	29	Muxía
PLAYA LOURIDO - MUXIA	Coruña (A)	Galicia	4770836.59	482124.82	29	Muxía
PLAYA ESPIÑEIRIDO - MUXIA	Coruña (A)	Galicia	4772192.55	483187.76	29	Muxía
PLAYA PARAMEÁN	Coruña (A)	Galicia	4737607.03	502606.61	29	Muros
PLAYA O CABO	Coruña (A)	Galicia	4735281.38	496094.69	29	Muros
PLAYA SAN FRANCISCO	Coruña (A)	Galicia	4734263.16	494170.56	29	Muros
PLAYA O PORTO DO ANCORADOIRO - LARIÑO	Coruña (A)	Galicia	4733958	490971.5	29	Muros
PLAYA O PORTIÑO DO MAIO	Coruña (A)	Galicia	4737669.67	502439.74	29	Muros
PLAYA O ESPADANAL	Coruña (A)	Galicia	4734361.62	494983.64	29	Muros
PLAYA MEDRÓN-UÍA	Coruña (A)	Galicia	4737935.06	497248.38	29	Muros
PLAYA SOMORTO	Coruña (A)	Galicia	4736987.89	501646.08	29	Muros
PLAYA AREA LONGA - MUROS	Coruña (A)	Galicia	4736843.48	500141.15	29	Muros
PLAYA BORNALLE	Coruña (A)	Galicia	4738908.44	498645.03	29	Muros
PLAYA A VOUGA	Coruña (A)	Galicia	4734372.44	494743.42	29	Muros
PLAYA O FOGAREIRO	Coruña (A)	Galicia	4733808.83	493720.41	29	Muros
PLAYA A AREA MAIOR	Coruña (A)	Galicia	4733870.46	491850.24	29	Muros
PLAYA AGROCOVO	Coruña (A)	Galicia	4737425.33	501872.03	29	Muros
PLAYA REIMÚNDEZ	Coruña (A)	Galicia	4736766.87	500507.81	29	Muros
PLAYA SEIXAL-AREA DO MEDIO	Coruña (A)	Galicia	4736785.36	499933.05	29	Muros
PLAYA LIÑARES	Coruña (A)	Galicia	4738792.54	498361.42	29	Muros
PLAYA A ROCHA	Coruña (A)	Galicia	4736832.02	494838.18	29	Muros
PLAYA A VIRXE DO CAMIÑO	Coruña (A)	Galicia	4736744.04	494987.69	29	Muros
PLAYA LARIÑO - MUROS	Coruña (A)	Galicia	4734350.21	490860.84	29	Muros
PLAYA BOA GRANDE	Coruña (A)	Galicia	4736499.99	505628.53	29	Noia
PLAYA BOA PEQUENA	Coruña (A)	Galicia	4736754.13	505859.85	29	Noia
PLAYA SANTA CRISTINA	Coruña (A)	Galicia	4798922.49	550697.28	29	Oleiros
PLAYA BASTIAGUEIRO	Coruña (A)	Galicia	4799102.02	551775.45	29	Oleiros
PLAYA SANTA CRUZ PORTO	Coruña (A)	Galicia	4799848.99	552951.94	29	Oleiros
PLAYA NAVAL	Coruña (A)	Galicia	4800465.04	553067.39	29	Oleiros
PLAYA ESPIÑEIRO - OLEIROS	Coruña (A)	Galicia	4803692.6	553402.29	29	Oleiros
PLAYA MOROUZOS	Coruña (A)	Galicia	4839860.95	592931.54	29	Ortigueira
PLAYA A CONCHA - ORTIGUEIRA	Coruña (A)	Galicia	4841510.65	596127.22	29	Ortigueira
PLAYA SAN ANTONIO	Coruña (A)	Galicia	4841878.05	596568.54	29	Ortigueira
PLAYA BIMBIEIRO	Coruña (A)	Galicia	4842341.71	597201.76	29	Ortigueira
PLAYA BROÑA	Coruña (A)	Galicia	4739049.33	505851.85	29	Outes
PLAYA AREAL	Coruña (A)	Galicia	4716595.42	505529.34	29	Pobra do Caramiñal (A)
PLAYA LOMBIÑA	Coruña (A)	Galicia	4715154.66	505810.56	29	Pobra do Caramiñal (A)
PLAYA A CORNA - P. CARAMIÑAL	Coruña (A)	Galicia	4714941.63	504254.11	29	Pobra do Caramiñal (A)
PLAYA RAPOSIÑOS	Coruña (A)	Galicia	4718138.4	505995.11	29	Pobra do Caramiñal (A)
PLAYA ILLA	Coruña (A)	Galicia	4714861.52	505422.65	29	Pobra do Caramiñal (A)
PLAYA A BARCA	Coruña (A)	Galicia	4715995.24	506562.35	29	Pobra do Caramiñal (A)
PLAYA BALARÉS	Coruña (A)	Galicia	4787841.79	504762.32	29	Ponteceso
PLAYA ARNELA - PONTECESO	Coruña (A)	Galicia	4790486.29	503376.01	29	Ponteceso
PLAYA O OSMO	Coruña (A)	Galicia	4790489.78	503642.9	29	Ponteceso
PLAYA A ERMIDA	Coruña (A)	Galicia	4790210.16	504000.64	29	Ponteceso
PLAYA NIÑONS	Coruña (A)	Galicia	4793811.14	507673.46	29	Ponteceso
PLAYA VER	Coruña (A)	Galicia	4805560.2	563896.84	29	Pontedeume
PLAYA PERBES - ANDAHÍO - PONTEDEUME	Coruña (A)	Galicia	4803344.91	563705.06	29	Pontedeume
PLAYA CENTROÑA	Coruña (A)	Galicia	4807110.79	566804.01	29	Pontedeume
PLAYA INSUA	Coruña (A)	Galicia	4803914	563153	29	Pontedeume
PLAYA SOPAZOS	Coruña (A)	Galicia	4807007.32	565334.68	29	Pontedeume
PLAYA SUBIGREXA	Coruña (A)	Galicia	4730786.85	500398.37	29	Porto do Son
PLAYA CABEIRO	Coruña (A)	Galicia	4731641.89	500779.82	29	Porto do Son
PLAYA A AGUIEIRA	Coruña (A)	Galicia	4732508.24	503071.5	29	Porto do Son
PLAYA COIRA	Coruña (A)	Galicia	4733894.49	504099.78	29	Porto do Son
PLAYA A ORNANDA	Coruña (A)	Galicia	4735196.52	505036.03	29	Porto do Son
PLAYA ESPIÑEIRIDO - P.DO SON	Coruña (A)	Galicia	4717078.03	495013.75	29	Porto do Son
PLAYA AS FURNAS	Coruña (A)	Galicia	4720804.31	496788.98	29	Porto do Son
PLAYA RÍO SIEIRA	Coruña (A)	Galicia	4722164.94	497080.26	29	Porto do Son
PLAYA QUEIRUGA	Coruña (A)	Galicia	4725030.97	497493.46	29	Porto do Son
PLAYA AREA LONGA - P. DO SON	Coruña (A)	Galicia	4726680	497815	29	Porto do Son
PLAYA O POZO	Coruña (A)	Galicia	4732935.24	503690.98	29	Porto do Son
PLAYA A GAFA	Coruña (A)	Galicia	4734908.35	504830.63	29	Porto do Son
PLAYA A TELLEIRA	Coruña (A)	Galicia	4736296.89	505276.47	29	Porto do Son
PLAYA O DIQUE	Coruña (A)	Galicia	4735924.21	504996.45	29	Porto do Son
PLAYA A VILA	Coruña (A)	Galicia	4730694	500081	29	Porto do Son
PLAYA TANXIL	Coruña (A)	Galicia	4721589.37	515446.15	29	Rianxo
PLAYA A TORRE	Coruña (A)	Galicia	4723842.3	515169.59	29	Rianxo
PLAYA AS CUNCHAS	Coruña (A)	Galicia	4720769.19	516843.67	29	Rianxo
PLAYA RÍO AZOR	Coruña (A)	Galicia	4713231.99	502727.19	29	Ribeira
PLAYA COROSO	Coruña (A)	Galicia	4713038.4	501563.87	29	Ribeira
PLAYA O TOURO	Coruña (A)	Galicia	4710535.71	501479.34	29	Ribeira
PLAYA O VILAR - RIBEIRA	Coruña (A)	Galicia	4712466.89	497070.13	29	Ribeira
PLAYA CORRUBEDO	Coruña (A)	Galicia	4714143.93	495357.4	29	Ribeira
PLAYA O PRADO	Coruña (A)	Galicia	4713521.97	493991.97	29	Ribeira
PLAYA O PORTO - RIBEIRA	Coruña (A)	Galicia	4712564.49	500924.44	29	Ribeira
PLAYA A AMEIXIDA	Coruña (A)	Galicia	4709728.61	501099.72	29	Ribeira
PLAYA MOSQUEIROS	Coruña (A)	Galicia	4709088.65	500464.58	29	Ribeira
PLAYA AREA SECADA	Coruña (A)	Galicia	4710374.8	501442.65	29	Ribeira
PLAYA A MURALLA	Coruña (A)	Galicia	4707989.06	498895.28	29	Ribeira
PLAYA BALIEIROS	Coruña (A)	Galicia	4714497.97	493630.34	29	Ribeira
PLAYA A CORNA - RIBEIRA	Coruña (A)	Galicia	4714925.56	504032.88	29	Ribeira
PLAYA BALUARTE	Coruña (A)	Galicia	4714081.07	503479.39	29	Ribeira
PLAYA CIRRO	Coruña (A)	Galicia	4803991.53	557260.45	29	Sada
PLAYA SAN PEDRO - SADA	Coruña (A)	Galicia	4803834.29	557708.94	29	Sada
PLAYA MORAZÓN	Coruña (A)	Galicia	4801811.48	560833.64	29	Sada
PLAYA ARNELA	Coruña (A)	Galicia	4802328.81	560147.7	29	Sada
PLAYA MEIRÁS	Coruña (A)	Galicia	4828213.79	565305.72	29	Valdoviño
PLAYA FROUXEIRA	Coruña (A)	Galicia	4829800.51	568469.75	29	Valdoviño
PLAYA CAMPELO - VALDOVIÑO	Coruña (A)	Galicia	4827640.02	564527.33	29	Valdoviño
PLAYA PANTÍIN	Coruña (A)	Galicia	4832457.38	571836.44	29	Valdoviño
PLAYA BALEO	Coruña (A)	Galicia	4833347.62	572534.22	29	Valdoviño
PLAYA VILLARRUBE	Coruña (A)	Galicia	4832694.59	574638.22	29	Valdoviño
PLAYA MOURILLÁ - OS BOTES	Coruña (A)	Galicia	4828800.28	565382.81	29	Valdoviño
PLAYA FORNOS	Coruña (A)	Galicia	4840902.05	592547.28	29	Cariño
PLAYA PEIRAL	Coruña (A)	Galicia	4844355	591400	29	Cariño
PLAYA FIGUEIRAS	Coruña (A)	Galicia	4840413.12	592102.79	29	Cariño
PLAYA ALTAR	Lugo	Galicia	4825506.77	642125.36	29	Barreiros
PLAYA ACANTILADO - REMIOR	Lugo	Galicia	4825398.76	643423.58	29	Barreiros
PLAYA FONTELA - VALEA	Lugo	Galicia	4825086.89	645208.9	29	Barreiros
PLAYA AREALONGA - BARREIROS	Lugo	Galicia	4824429.71	647742.05	29	Barreiros
PLAYA AS PASADAS	Lugo	Galicia	4824991.79	646877.04	29	Barreiros
PLAYA COTO	Lugo	Galicia	4825309.49	644231.57	29	Barreiros
PLAYA LÓNGARA	Lugo	Galicia	4825029.26	646289.31	29	Barreiros
PLAYA SAN BARTOLO	Lugo	Galicia	4825567.4	642825.66	29	Barreiros
PLAYA O TORNO	Lugo	Galicia	4839633.85	625712.45	29	Cervo
PLAYA CUBELAS	Lugo	Galicia	4839698.08	625969.51	29	Cervo
PLAYA CAOSA	Lugo	Galicia	4839379.12	625818.47	29	Cervo
PLAYA RUETA	Lugo	Galicia	4838087.41	628632.36	29	Cervo
PLAYA AREOURA	Lugo	Galicia	4833500.93	633734.67	29	Foz
PLAYA AREALONGA - FOZ	Lugo	Galicia	4829755.73	636954.86	29	Foz
PLAYA PEIZÁS	Lugo	Galicia	4827805.46	639053.69	29	Foz
PLAYA LLAS	Lugo	Galicia	4826963.04	640517.29	29	Foz
PLAYA A RAPADOIRA	Lugo	Galicia	4826131.26	641700.88	29	Foz
PLAYA PAMPILLOSA	Lugo	Galicia	4828398.88	637869.37	29	Foz
PLAYA AS POLAS	Lugo	Galicia	4831354.25	635797.45	29	Foz
PLAYA OS XUNCOS	Lugo	Galicia	4831532.49	635635.34	29	Foz
PLAYA ESTEIRO - XOVE	Lugo	Galicia	4841039.18	616205.75	29	Xove
PLAYA LAGO	Lugo	Galicia	4841062.17	622636.42	29	Xove
PLAYA PORTOCELO - XOVE	Lugo	Galicia	4842203.24	619721.08	29	Xove
PLAYA MORAS	Lugo	Galicia	4842008.83	623115.7	29	Xove
PLAYA AS CATEDRAIS	Lugo	Galicia	4824277.23	648977.79	29	Ribadeo
PLAYA OS CASTROS - ILLAS	Lugo	Galicia	4824400.23	650815.52	29	Ribadeo
PLAYA OS BLOQUES	Lugo	Galicia	4821758.38	658430.54	29	Ribadeo
PLAYA ESTEIRO - RIBADEO	Lugo	Galicia	4824248.06	649703.68	29	Ribadeo
PLAYA ROCAS BLANCAS	Lugo	Galicia	4824383.5	658061.54	29	Ribadeo
PLAYA O CARGADEIRO	Lugo	Galicia	4823441.94	658760.23	29	Ribadeo
PLAYA AREALONGA - VICEDO	Lugo	Galicia	4843127.59	605716.92	29	Vicedo (O)
PLAYA XILLOI	Lugo	Galicia	4844538.84	608657.7	29	Vicedo (O)
PLAYA AREAGRANDE	Lugo	Galicia	4841896.68	611031.89	29	Vicedo (O)
PLAYA ABRELA	Lugo	Galicia	4839919.02	612006.32	29	Vicedo (O)
PLAYA VIDREIRO	Lugo	Galicia	4844047.86	606728.31	29	Vicedo (O)
PLAYA CAOLÍN	Lugo	Galicia	4844324.3	606854.65	29	Vicedo (O)
PLAYA SACIDO	Lugo	Galicia	4837371.34	611909.92	29	Viveiro
PLAYA COVAS	Lugo	Galicia	4836727.52	612335.17	29	Viveiro
PLAYA AREA	Lugo	Galicia	4838763.58	614448.79	29	Viveiro
PLAYA A MAROSA	Lugo	Galicia	4837213.58	631187.52	29	Burela
PLAYA O PORTELO	Lugo	Galicia	4836103.1	632636.02	29	Burela
PLAYA O CANTIÑO	Lugo	Galicia	4833766.56	633690.75	29	Burela
PLAYA RIL	Lugo	Galicia	4836886.86	631967.3	29	Burela
PLAYA PENAOURAL	Lugo	Galicia	4835886.56	632755.86	29	Burela
PLAYA A CONCHEIRA	Pontevedra	Galicia	4663611.34	512372.68	29	Baiona
PLAYA A BARBEIRA	Pontevedra	Galicia	4663710.79	512651.17	29	Baiona
PLAYA A RIBEIRA - BAIONA	Pontevedra	Galicia	4663486.24	512602	29	Baiona
PLAYA SANTA MARTA	Pontevedra	Galicia	4662747.11	513470.51	29	Baiona
PLAYA A LADEIRA	Pontevedra	Galicia	4662610.33	514243.7	29	Baiona
PLAYA DOS FRADES	Pontevedra	Galicia	4663972	512349	29	Baiona
PLAYA AREA DE BON	Pontevedra	Galicia	4684896.81	515001.67	29	Bueu
PLAYA LAGOS	Pontevedra	Galicia	4686069.09	514465.22	29	Bueu
