nombre	provincia	comunidad	y	x	huso	municipio
PLAYA A XUNQUEIRA	Pontevedra	Galicia	4681793.96	522441.4	29	Moaña
PLAYA O CON	Pontevedra	Galicia	4680089.08	521441.97	29	Moaña
PLAYA TIRÁN	Pontevedra	Galicia	4679722.89	520606.47	29	Moaña
PLAYA A BORNA	Pontevedra	Galicia	4681350.48	524872.72	29	Moaña
PLAYA O PORTO - MOAÑA	Pontevedra	Galicia	4680555	521882	29	Moaña
PLAYA O COCHO	Pontevedra	Galicia	4681017.61	523792.18	29	Moaña
PLAYA MOSQUEIRA	Pontevedra	Galicia	4678918	519850	29	Moaña
PLAYA SOBREIRA	Pontevedra	Galicia	4681833	526515	29	Moaña
PLAYA A RIBEIRA - MOAÑA	Pontevedra	Galicia	4681655.03	523004.26	29	Moaña
PLAYA NIÑO DO CORVO	Pontevedra	Galicia	4679459.93	520481.89	29	Moaña
PLAYA AMÉRICA	Pontevedra	Galicia	4664954.9	515140.08	29	Nigrán
PLAYA PANXÓN	Pontevedra	Galicia	4665466.66	515034.83	29	Nigrán
PLAYA MADORRA	Pontevedra	Galicia	4666215.61	514467.71	29	Nigrán
PLAYA PATOS	Pontevedra	Galicia	4667277.23	514599.73	29	Nigrán
PLAYA AREA FOFA	Pontevedra	Galicia	4666428.27	514256.62	29	Nigrán
PLAYA AS CANAS	Pontevedra	Galicia	4667922.71	515045.94	29	Nigrán
PLAYA LOURIDO - POIO	Pontevedra	Galicia	4696739.14	526930.42	29	Poio
PLAYA CABECEIRA	Pontevedra	Galicia	4696901.02	526260.13	29	Poio
PLAYA A CANTEIRA	Pontevedra	Galicia	4697441.51	524135.78	29	Poio
PLAYA CHANCELAS	Pontevedra	Galicia	4696957	523253	29	Poio
PLAYA LAÑO	Pontevedra	Galicia	4695963	521629	29	Poio
PLAYA FONTEMAIOR	Pontevedra	Galicia	4695205.5	521039.85	29	Poio
PLAYA RAXÓ	Pontevedra	Galicia	4694777	520389	29	Poio
PLAYA CHANCELAS PEQUENA	Pontevedra	Galicia	4696867	523531	29	Poio
PLAYA XIORTO	Pontevedra	Galicia	4694721	520210	29	Poio
PLAYA SINAS	Pontevedra	Galicia	4694769.7	520693.2	29	Poio
PLAYA CAMPELO - POIO	Pontevedra	Galicia	4697531.16	526050.43	29	Poio
PLAYA PADRÓN	Pontevedra	Galicia	4698239	524415	29	Poio
PLAYA OURICEIRA	Pontevedra	Galicia	4696762.26	522934.41	29	Poio
PLAYA AREALONGA - REDONDELA	Pontevedra	Galicia	4679450.63	526798.31	29	Redondela
PLAYA CESANTES	Pontevedra	Galicia	4683388.36	531872.96	29	Redondela
PLAYA AREAS	Pontevedra	Galicia	4693907.13	518180.83	29	Sanxenxo
PLAYA PANADEIRA	Pontevedra	Galicia	4694449.77	516619.69	29	Sanxenxo
PLAYA SILGAR	Pontevedra	Galicia	4694506.64	515586.77	29	Sanxenxo
PLAYA CANELIÑAS	Pontevedra	Galicia	4693467.25	514472.42	29	Sanxenxo
PLAYA CANELAS - SANXENXO	Pontevedra	Galicia	4693211.81	513969.32	29	Sanxenxo
PLAYA PAXARIÑAS	Pontevedra	Galicia	4693418.56	512942.13	29	Sanxenxo
PLAYA MONTALVO	Pontevedra	Galicia	4694127.85	512503.33	29	Sanxenxo
PLAYA NUESTRA SEÑORA DA LANZADA	Pontevedra	Galicia	4697650	510275	29	Sanxenxo
PLAYA PRAGUEIRA	Pontevedra	Galicia	4695435	511404	29	Sanxenxo
PLAYA ESPIÑEIRO - SANXENXO	Pontevedra	Galicia	4698557	510623	29	Sanxenxo
PLAYA AGRA	Pontevedra	Galicia	4693802.84	519100.13	29	Sanxenxo
PLAYA BASCUAS	Pontevedra	Galicia	4694870.47	511741.72	29	Sanxenxo
PLAYA MAJOR	Pontevedra	Galicia	4695670.3	511216.18	29	Sanxenxo
PLAYA FOXOS	Pontevedra	Galicia	4697453	510438	29	Sanxenxo
PLAYA AREAS GORDAS	Pontevedra	Galicia	4697954.75	510543.3	29	Sanxenxo
PLAYA A LAPA	Pontevedra	Galicia	4698184.93	510724.23	29	Sanxenxo
PLAYA BALTAR	Pontevedra	Galicia	4694041.98	514581.07	29	Sanxenxo
PLAYA OS MUIÑOS DE FORTIÑÓN	Pontevedra	Galicia	4669420.65	515434.59	29	Vigo
PLAYA O XUNQUEIRO	Pontevedra	Galicia	4671353.61	516376.86	29	Vigo
PLAYA CANIDO	Pontevedra	Galicia	4671557.21	516846.02	29	Vigo
PLAYA O VAO	Pontevedra	Galicia	4672048.96	517234.61	29	Vigo
PLAYA FONTAIÑA	Pontevedra	Galicia	4672270.77	517802.92	29	Vigo
PLAYA CALZOA	Pontevedra	Galicia	4672510.59	518119.39	29	Vigo
PLAYA SAMIL	Pontevedra	Galicia	4673973.43	518573.04	29	Vigo
PLAYA TOMBO DO GATO	Pontevedra	Galicia	4674478.36	518603.92	29	Vigo
PLAYA FONTES	Pontevedra	Galicia	4674764.39	518861.44	29	Vigo
PLAYA SANTA BAIA	Pontevedra	Galicia	4674804	519355	29	Vigo
PLAYA A MOURISCA	Pontevedra	Galicia	4674915	519020	29	Vigo
PLAYA A PUNTA	Pontevedra	Galicia	4678902.19	525080.83	29	Vigo
PLAYA RODAS (ISLAS CIES)	Pontevedra	Galicia	4674677.2	508239.81	29	Vigo
PLAYA FIGUEIRAS (ISLAS CIES)	Pontevedra	Galicia	4675651.56	508338.86	29	Vigo
PLAYA CARRACIDO (ISLAS CIES)	Pontevedra	Galicia	4672446.72	507971.11	29	Vigo
PLAYA CARRIL	Pontevedra	Galicia	4674829.58	519610.42	29	Vigo
PLAYA O PORTIÑO - VIGO	Pontevedra	Galicia	4668677.32	515277.3	29	Vigo
PLAYA A SOBREIRA	Pontevedra	Galicia	4671104.37	515611.89	29	Vigo
PLAYA TORALLA	Pontevedra	Galicia	4672214.31	516570.81	29	Vigo
PLAYA MENDE	Pontevedra	Galicia	4674930	519189	29	Vigo
PLAYA O ADRO	Pontevedra	Galicia	4675158	520390	29	Vigo
PLAYA DEILÁN	Pontevedra	Galicia	4685843.53	529114.34	29	Vilaboa
PLAYA AREEIROS	Pontevedra	Galicia	4688750	531250	29	Vilaboa
PLAYA A CONCHA - V. AROUSA	Pontevedra	Galicia	4717016.75	519111.73	29	Vilagarcía de Arousa
PLAYA COMPOSTELA	Pontevedra	Galicia	4717317.61	519081.9	29	Vilagarcía de Arousa
PLAYA CAMPANARIO	Pontevedra	Galicia	4720387.11	519679	29	Vilagarcía de Arousa
PLAYA CANELAS - V. AROUSA	Pontevedra	Galicia	4715847.25	517790.65	29	Vilagarcía de Arousa
PLAYA PREGUNTOIRO	Pontevedra	Galicia	4715053.68	517237.22	29	Vilagarcía de Arousa
PLAYA O BORNAL-O FUCIÑO DO PORCO	Pontevedra	Galicia	4713954.72	514221.2	29	Vilanova de Arousa
PLAYA AS PATIÑAS	Pontevedra	Galicia	4710079.44	514361.47	29	Vilanova de Arousa
PLAYA O TERRON	Pontevedra	Galicia	4711850.18	513645.13	29	Vilanova de Arousa
PLAYA AS CASIÑAS	Pontevedra	Galicia	4709760	514323	29	Vilanova de Arousa
PLAYA CASTELETE	Pontevedra	Galicia	4710376.23	514148.93	29	Vilanova de Arousa
PLAYA CABALGADA	Pontevedra	Galicia	4710858.43	513828.14	29	Vilanova de Arousa
PLAYA PASAXE-O BOTE	Pontevedra	Galicia	4711221.15	513704.15	29	Vilanova de Arousa
PLAYA CON DA MINA	Pontevedra	Galicia	4712076.94	513652.42	29	Vilanova de Arousa
PLAYA CORÓN-BORREIROS	Pontevedra	Galicia	4714413.17	516229	29	Vilanova de Arousa
PLAYA CAMAXE	Pontevedra	Galicia	4710579.47	511366.66	29	Illa de Arousa (A)
PLAYA AREA DA SECADA	Pontevedra	Galicia	4713072.73	509407.31	29	Illa de Arousa (A)
PLAYA CABODEIRO	Pontevedra	Galicia	4712655.63	511835.93	29	Illa de Arousa (A)
PLAYA O BAO	Pontevedra	Galicia	4710836.2	511730.99	29	Illa de Arousa (A)
PLAYA XASTELAS	Pontevedra	Galicia	4708737.06	511112.89	29	Illa de Arousa (A)
PLAYA CONXUNTO PARQUE CARREIRÓN	Pontevedra	Galicia	4708542	510990	29	Illa de Arousa (A)
PLAYA CONSERRADO	Pontevedra	Galicia	4709769.57	510962.49	29	Illa de Arousa (A)
PLAYA LAVANQUEIRA	Pontevedra	Galicia	4708395.19	510573.98	29	Illa de Arousa (A)
PLAYA DE LA ESPASA	Asturias	Asturias	4816184	321199	30	Caravia
PLAYA ARENAL DE MORÍS	Asturias	Asturias	4816071	324140	30	Caravia
PLAYA CARRANQUES	Asturias	Asturias	4828900	278578	30	Carreño
PLAYA XIVARES	Asturias	Asturias	4828036	280492	30	Carreño
PLAYA PALMERA	Asturias	Asturias	4829979	277312	30	Carreño
PLAYA LES HUELGUES	Asturias	Asturias	4829409	277926	30	Carreño
PLAYA SANTA MARÍA DEL MAR	Asturias	Asturias	4829102	258060	30	Castrillón
PLAYA ARNAO	Asturias	Asturias	4829483	259406	30	Castrillón
PLAYA DE SALINAS	Asturias	Asturias	4829565	260647	30	Castrillón
PLAYA SAN JUAN DE NIEVA	Asturias	Asturias	4830506	262521	30	Castrillón
PLAYA DEL SABLÓN DE BAYAS	Asturias	Asturias	4829383	738838	29	Castrillón
PLAYA PEÑARRONDA	Asturias	Asturias	4824575	662000	29	Castropol
PLAYA ARNAO	Asturias	Asturias	4823875	659875	29	Castropol
PLAYA ARNELLES	Asturias	Asturias	4825767	683330	29	Coaña
PLAYA LASTRES	Asturias	Asturias	4819955	316609	30	Colunga
PLAYA LA GRIEGA	Asturias	Asturias	4819339	317389	30	Colunga
PLAYA DE LA ISLA	Asturias	Asturias	4816593	320363	30	Colunga
PLAYA SAN PEDRO DE BOCAMAR	Asturias	Asturias	4829140	724547	29	Cudillero
PLAYA CONCHA DE ARTEDO	Asturias	Asturias	4827529	727426	29	Cudillero
PLAYA PORCIA	Asturias	Asturias	4825596	671660	29	Franco (El)
PLAYA PORMENANDE	Asturias	Asturias	4825969	675575	29	Franco (El)
PLAYA CASTELLO	Asturias	Asturias	4824948	676937	29	Franco (El)
PLAYA SAN LORENZO	Asturias	Asturias	4825363	286907	30	Gijón
PLAYA ESTAÑO	Asturias	Asturias	4825192	290285	30	Gijón
PLAYA PONIENTE	Asturias	Asturias	4824861	284417	30	Gijón
PLAYA ARBEYAL	Asturias	Asturias	4825009	282636	30	Gijón
PLAYA PEÑARRUBIA	Asturias	Asturias	4825684	288115	30	Gijón
PLAYA DE XAGÓ	Asturias	Asturias	4832126	264176	30	Gozón
PLAYA VERDICIO	Asturias	Asturias	4834704	267966	30	Gozón
PLAYA BAÑUGUES	Asturias	Asturias	4834994	273495	30	Gozón
PLAYA LUANCO	Asturias	Asturias	4833539	275269	30	Gozón
PLAYA SAN PEDRO DE ANTROMERO	Asturias	Asturias	4831692	276477	30	Gozón
PLAYA OTUR	Asturias	Asturias	4825350	694300	29	Valdés
PLAYA SALINAS	Asturias	Asturias	4825000	698800	29	Valdés
PLAYA 1ª Y 2ª DE LUARCA	Asturias	Asturias	4824705	698975	29	Valdés
PLAYA CUEVA	Asturias	Asturias	4825300	704200	29	Valdés
PLAYA CADAVEDO	Asturias	Asturias	4825630	712500	29	Valdés
PLAYA CUEVAS DE MAR	Asturias	Asturias	4813607	343428	30	Llanes
PLAYA SAN ANTOLÍN	Asturias	Asturias	4811870	348305	30	Llanes
PLAYA BARRO	Asturias	Asturias	4811138	352389	30	Llanes
PLAYA BORIZO	Asturias	Asturias	4811002	353396	30	Llanes
PLAYA PALOMBINA	Asturias	Asturias	4810711	353689	30	Llanes
PLAYA LAS CÁMARAS	Asturias	Asturias	4810612	353768	30	Llanes
PLAYA POO	Asturias	Asturias	4810251	355690	30	Llanes
PLAYA EL SABLÓN	Asturias	Asturias	4809468	358250	30	Llanes
PLAYA TORÓ	Asturias	Asturias	4808791	358976	30	Llanes
PLAYA TORANDA (NIEMBRO)	Asturias	Asturias	4811662	351291	30	Llanes
PLAYA AGUILAR	Asturias	Asturias	4826040	732898	29	Muros de Nalón
PLAYA NAVIA	Asturias	Asturias	4825355	684156	29	Navia
PLAYA FREJULFE	Asturias	Asturias	4825771	688059	29	Navia
PLAYA LA FRANCA	Asturias	Asturias	4805926	372450	30	Ribadedeva
PLAYA VEGA	Asturias	Asturias	4816739	327459	30	Ribadesella
PLAYA SANTA MARINA	Asturias	Asturias	4814830	332658	30	Ribadesella
PLAYA LOS QUEBRANTOS	Asturias	Asturias	4828115	736867	29	Soto del Barco
PLAYA PEÑARRONDA	Asturias	Asturias	4824550	661850	29	Tapia de Casariego
PLAYA ANGUILEIRO	Asturias	Asturias	4826350	665775	29	Tapia de Casariego
PLAYA SERANTES	Asturias	Asturias	4824875	663725	29	Tapia de Casariego
PLAYA TAZONES	Asturias	Asturias	4824321	306295	30	Villaviciosa
PLAYA RODILES	Asturias	Asturias	4823211	307966	30	Villaviciosa
PLAYA LA ÑORA	Asturias	Asturias	4825168	296873	30	Villaviciosa
PLAYA ESPAÑA	Asturias	Asturias	4824843	295822	30	Villaviciosa
PLAYA DE COBRECES	Cantabria	Cantabria	4805601.12	401231.69	30	Alfoz de Lloredo
PLAYA LA ARENA	Cantabria	Cantabria	4817114.79	453394.28	30	Arnuero
PLAYA EL SABLE DE QUEJO	Cantabria	Cantabria	4816489.63	456285.86	30	Arnuero
PLAYA DE AJO	Cantabria	Cantabria	4816584.13	450529.47	30	Bareyo
PLAYA ORIÑON	Cantabria	Cantabria	4805554.49	473931.74	30	Castro-Urdiales
PLAYA ARENILLAS	Cantabria	Cantabria	4805944.81	474817.98	30	Castro-Urdiales
PLAYA OSTENDE	Cantabria	Cantabria	4803948.43	481866.86	30	Castro-Urdiales
PLAYA BRAZOMAR	Cantabria	Cantabria	4802599.46	482949.97	30	Castro-Urdiales
PLAYA DICIDO	Cantabria	Cantabria	4801431.34	484321.44	30	Castro-Urdiales
PLAYA DE COMILLAS	Cantabria	Cantabria	4805131.4	395801.38	30	Comillas
PLAYA SALVE	Cantabria	Cantabria	4806869.58	465921.33	30	Laredo
PLAYA DE MOGRO	Cantabria	Cantabria	4810168.42	421378.98	30	Miengo
PLAYA DEL RIS	Cantabria	Cantabria	4816035.14	457659.51	30	Noja
PLAYA DE TREGANDIN	Cantabria	Cantabria	4814328.76	458420.12	30	Noja
PLAYA DE LIENCRES	Cantabria	Cantabria	4811368.62	421711.1	30	Piélagos
PLAYA PUNTAL	Cantabria	Cantabria	4812017.11	439223.35	30	Ribamontán al Mar
PLAYA SOMO	Cantabria	Cantabria	4812131.32	439976.36	30	Ribamontán al Mar
PLAYA LOREDO	Cantabria	Cantabria	4812609.4	441054.37	30	Ribamontán al Mar
PLAYA DE LANGRE	Cantabria	Cantabria	4814129.46	444268.37	30	Ribamontán al Mar
PLAYA SAN JUAN DE LA CANAL	Cantabria	Cantabria	4814045.37	427907.16	30	Santa Cruz de Bezana
PLAYA VIRGEN DEL MAR	Cantabria	Cantabria	4814413.51	429275.01	30	Santander
PLAYA MATALEÑAS	Cantabria	Cantabria	4815335.68	436456.68	30	Santander
PLAYA 2ª SARDINERO	Cantabria	Cantabria	4814353.74	436557.31	30	Santander
PLAYA 1ª SARDINERO	Cantabria	Cantabria	4813880.13	436899.95	30	Santander
PLAYA CAMELLO	Cantabria	Cantabria	4813533.42	437406.58	30	Santander
PLAYA DE LA MAGDALENA/PELIGROS	Cantabria	Cantabria	4813025.1	437174.52	30	Santander
PLAYA DE BERRIA	Cantabria	Cantabria	4812829.46	462393.76	30	Santoña
PLAYA DE SAN MARTIN	Cantabria	Cantabria	4809920.37	463420.22	30	Santoña
PLAYA TOSTADERO	Cantabria	Cantabria	4804872.43	387759.71	30	San Vicente de la Barquera
PLAYA SABLE DE MERON	Cantabria	Cantabria	4805425.33	388908.93	30	San Vicente de la Barquera
PLAYA DE LA CONCHA	Cantabria	Cantabria	4809917.67	415824.63	30	Suances
PLAYA DE LOS LOCOS	Cantabria	Cantabria	4810288.39	415341.42	30	Suances
PLAYA DE OYAMBRE	Cantabria	Cantabria	4805192.08	392454.81	30	Valdáliga
PLAYA DE DEBA	Guipúzcoa	Pais Vasco	4794390	552590	30	Deba
PLAYA DE  HONDARRIBIA	Guipúzcoa	Pais Vasco	4803908	597739	30	Hondarribia
PLAYA DE MALKORBE	Guipúzcoa	Pais Vasco	4794979	564831	30	Getaria
PLAYA DE GAZTETAPE	Guipúzcoa	Pais Vasco	4795082	564496	30	Getaria
PLAYA DE ONDARBELTZ	Guipúzcoa	Pais Vasco	4794589	552337	30	Mutriku
PLAYA DE MUTRIKU	Guipúzcoa	Pais Vasco	4795663	550262	30	Mutriku
PLAYA DE SATURRARÁN	Guipúzcoa	Pais Vasco	4796891	547877	30	Mutriku
PLAYA DE ANTILLA	Guipúzcoa	Pais Vasco	4793553	570807	30	Orio
PLAYA DE  GROS/LA ZURRIOLA	Guipúzcoa	Pais Vasco	4797870	582863	30	Donostia-San Sebastián
PLAYA DE  LA CONCHA	Guipúzcoa	Pais Vasco	4797056	582164	30	Donostia-San Sebastián
PLAYA DE ONDARRETA	Guipúzcoa	Pais Vasco	4796869	580900	30	Donostia-San Sebastián
PLAYA DE ZARAUTZ	Guipúzcoa	Pais Vasco	4793424	567437	30	Zarautz
PLAYA DE SANTIAGO	Guipúzcoa	Pais Vasco	4794953	561246	30	Zumaia
PLAYA DE ITZURUN	Guipúzcoa	Pais Vasco	4794670	560004	30	Zumaia
PLAYA DE BAKIO	Vizcaya	Pais Vasco	4808840	515691	30	Bakio
PLAYA DE ARITXATXU	Vizcaya	Pais Vasco	4808354	521976	30	Bermeo
PLAYA DE GORLIZ	Vizcaya	Pais Vasco	4806908	504559	30	Gorliz
PLAYA DE EREAGA	Vizcaya	Pais Vasco	4798905	498875	30	Getxo
PLAYA DE AZKORRI	Vizcaya	Pais Vasco	4803307	498802	30	Getxo
PLAYA DE ARRIGUNAGA	Vizcaya	Pais Vasco	4800556	498507	30	Getxo
PLAYA DE EA	Vizcaya	Pais Vasco	4803936	533914	30	Ea
PLAYA DE LAIDA	Vizcaya	Pais Vasco	4805217	525354	30	Ibarrangelu
PLAYA DE LAGA	Vizcaya	Pais Vasco	4806559	527806	30	Ibarrangelu
PLAYA DE OGEIA	Vizcaya	Pais Vasco	4802622	536957	30	Ispaster
PLAYA DE ISUNTZA	Vizcaya	Pais Vasco	4801467	540572	30	Lekeitio
PLAYA DE KARRASPIO	Vizcaya	Pais Vasco	4801351	540773	30	Mendexa
PLAYA DE LAIDATXU	Vizcaya	Pais Vasco	4805971	524594	30	Mundaka
PLAYA DE ARRIGORRI	Vizcaya	Pais Vasco	4797091	547277	30	Ondarroa
PLAYA DE SAN ANTONIO	Vizcaya	Pais Vasco	4804038	525385	30	Sukarrieta
PLAYA DE TOÑA	Vizcaya	Pais Vasco	4804778	524804	30	Sukarrieta
PLAYA DE PLENTZIA	Vizcaya	Pais Vasco	4806733	504425	30	Plentzia
PLAYA DE SOLANDOTES	Vizcaya	Pais Vasco	4803715	499659	30	Sopelana
PLAYA DE ATXABIRIBIL-ARIETARRA	Vizcaya	Pais Vasco	4804011	500171	30	Sopelana
PLAYA DE CAVAIÓ 	Barcelona	Cataluña	4603601	464207	31	Arenys de Mar
PLAYA DE BADALONA 	Barcelona	Cataluña	4586929	436505	31	Badalona
PLAYA DE LA MAR BELLA 	Barcelona	Cataluña	4583428	434255	31	Barcelona
PLAYA DEL BOGATELL 	Barcelona	Cataluña	4583035	433850	31	Barcelona
PLAYA DE LA NOVA MAR BELLA 	Barcelona	Cataluña	4583890	434555	31	Barcelona
PLAYA DE LA NOVA ICÀRIA 	Barcelona	Cataluña	4582590	433440	31	Barcelona
PLAYA DE SANT SEBASTIÀ 	Barcelona	Cataluña	4580640	432370	31	Barcelona
PLAYA DE LLEVANT	Barcelona	Cataluña	4584116	434715	31	Barcelona
PLAYA DE CABRERA 	Barcelona	Cataluña	4595733	450946	31	Cabrera de Mar
PLAYA DE LA RIERA 	Barcelona	Cataluña	4602155	460810	31	Caldes d
PLAYA DELS TRES MICOS 	Barcelona	Cataluña	4601955	460430	31	Caldes d
PLAYA DE GRAN DE CALELLA 	Barcelona	Cataluña	4606970	472050	31	Calella
PLAYA DE LES ROQUES 	Barcelona	Cataluña	4606269	472270	31	Calella
PLAYA DE GARBÍ 	Barcelona	Cataluña	4606746	471348	31	Calella
PLAYA DE CANET 	Barcelona	Cataluña	4604195	465525	31	Canet de Mar
PLAYA DE CAVAIÓ 	Barcelona	Cataluña	4603820	464580	31	Canet de Mar
PLAYA DE CASTELLDEFELS 	Barcelona	Cataluña	4568765	411812	31	Castelldefels
PLAYA LLARGA 	Barcelona	Cataluña	4562035	389365	31	Cubelles
PLAYA DE LA MOTA DE SANT PERE 	Barcelona	Cataluña	4561632	387758	31	Cubelles
PLAYA DE GAVÀ 	Barcelona	Cataluña	4568870	417720	31	Gavà
PLAYA D	Barcelona	Cataluña	4592262	443424	31	Masnou (El)
PLAYA DEL MASNOU 	Barcelona	Cataluña	4591861	442006	31	Masnou (El)
PLAYA DE SANT SIMÓ 	Barcelona	Cataluña	4599550	455560	31	Mataró
PLAYA DEL CALLAO 	Barcelona	Cataluña	4598889	454807	31	Mataró
PLAYA DEL VARADOR 	Barcelona	Cataluña	4598555	454225	31	Mataró
PLAYA DE MONTGAT 	Barcelona	Cataluña	4590950	440240	31	Montgat
PLAYA DEL PRAT 	Barcelona	Cataluña	4570835	424631	31	Prat de Llobregat (El)
PLAYA DEL PLA DE L	Barcelona	Cataluña	4593185	446230	31	Premià de Mar
PLAYA DE LLEVANT 	Barcelona	Cataluña	4593360	446680	31	Premià de Mar
PLAYA DEL PARC DEL LITORAL 	Barcelona	Cataluña	4586089	436188	31	Sant Adrià de Besòs
PLAYA DEL PARC DEL NORD-EST 	Barcelona	Cataluña	4585346	435786	31	Sant Adrià de Besòs
PLAYA DE S.A. DE LLAVANERES 	Barcelona	Cataluña	4600780	458410	31	Sant Andreu de Llavaneres
PLAYA DE VILASSAR 	Barcelona	Cataluña	4594650	449230	31	Vilassar de Mar
PLAYA DE LA PLATJOLA I EL MORER 	Barcelona	Cataluña	4605870	469170	31	Sant Pol de Mar
PLAYA DE SANT POL 	Barcelona	Cataluña	4605715	468755	31	Sant Pol de Mar
PLAYA DEL GRAU 	Barcelona	Cataluña	4605330	467992	31	Sant Pol de Mar
PLAYA DEL FARELL 	Barcelona	Cataluña	4605030	467300	31	Sant Pol de Mar
PLAYA DEL MOLÍ 	Barcelona	Cataluña	4604813	466826	31	Sant Pol de Mar
PLAYA DE SANTA SUSANNA 	Barcelona	Cataluña	4608832	476335	31	Santa Susanna
PLAYA DE S. VICENÇ DE MONTALT 	Barcelona	Cataluña	4601600	459800	31	Sant Vicenç de Montalt
PLAYA D	Barcelona	Cataluña	4565855	401900	31	Sitges
PLAYA DE SANT SEBASTIÀ 	Barcelona	Cataluña	4565800	400730	31	Sitges
PLAYA DE LA RIBERA 	Barcelona	Cataluña	4565596	400128	31	Sitges
PLAYA DE LA BARRA 	Barcelona	Cataluña	4564955	398840	31	Sitges
PLAYA DE LES BOTIGUES 	Barcelona	Cataluña	4568585	410790	31	Sitges
PLAYA DEL GARRAF 	Barcelona	Cataluña	4567745	408350	31	Sitges
PLAYA DELS BALMINS 	Barcelona	Cataluña	4565805	401271	31	Sitges
PLAYA DE L	Barcelona	Cataluña	4565334	399540	31	Sitges
PLAYA DE TERRAMAR 	Barcelona	Cataluña	4564790	398640	31	Sitges
PLAYA DE VILADECANS 	Barcelona	Cataluña	4569700	421270	31	Viladecans
PLAYA DEL FAR DE S. CRISTÒFOL 	Barcelona	Cataluña	4563600	394340	31	Vilanova i la Geltrú
PLAYA DE RIBES-ROGES 	Barcelona	Cataluña	4563324	393076	31	Vilanova i la Geltrú
PLAYA DE SANT GERVASI 	Barcelona	Cataluña	4563080	392115	31	Vilanova i la Geltrú
PLAYA D	Barcelona	Cataluña	4562305	389760	31	Vilanova i la Geltrú
PLAYA D	Barcelona	Cataluña	4563219	392531	31	Vilanova i la Geltrú
PLAYA DEL RACÓ 	Girona	Cataluña	4647545	517542	31	Begur
PLAYA DE SA RIERA 	Girona	Cataluña	4647005	517600	31	Begur
PLAYA DE SA TUNA 	Girona	Cataluña	4645624	519149	31	Begur
PLAYA D	Girona	Cataluña	4642702	518032	31	Begur
PLAYA FONDA 	Girona	Cataluña	4643523	518144	31	Begur
PLAYA D	Girona	Cataluña	4647404	517630	31	Begur
PLAYA DE SANT FRANCESC 	Girona	Cataluña	4614310	484080	31	Blanes
PLAYA DE BLANES 	Girona	Cataluña	4613707	482891	31	Blanes
PLAYA DE SABANELL 	Girona	Cataluña	4612369	482125	31	Blanes
PLAYA GRAN DE CADAQUÉS 	Girona	Cataluña	4682027	523069	31	Cadaqués
PLAYA ES LLANÉ GRAN 	Girona	Cataluña	4681585	522830	31	Cadaqués
PLAYA D	Girona	Cataluña	4681612	523804	31	Cadaqués
PLAYA DE SANT ANTONI 	Girona	Cataluña	4632542	508408	31	Calonge
PLAYA DE TORRE VALENTINA 	Girona	Cataluña	4632140	508035	31	Calonge
PLAYA CALA CRISTUS-SES TORRETES 	Girona	Cataluña	4631064	507255	31	Calonge
PLAYA D	Girona	Cataluña	4633129	509430	31	Calonge
PLAYA DE LA RUBINA 	Girona	Cataluña	4677885	511630	31	Castelló d
PLAYA D	Girona	Cataluña	4676940	510980	31	Castelló d
PLAYA DE CAN COMES 	Girona	Cataluña	4672868	509368	31	Castelló d
PLAYA DE PLATJA D	Girona	Cataluña	4628720	505660	31	Castell-Platja d
PLAYA DE SA CONCA 	Girona	Cataluña	4627500	505165	31	Castell-Platja d
PLAYA CALA ROVIRA 	Girona	Cataluña	4630171	506250	31	Castell-Platja d
PLAYA D	Girona	Cataluña	4695105	512935	31	Colera
PLAYA DE GARBET 	Girona	Cataluña	4693715	512705	31	Colera
PLAYA DE RIELLS 	Girona	Cataluña	4662825	511630	31	Escala (L
PLAYA DEL MOLL GREC 	Girona	Cataluña	4665071	510212	31	Escala (L
PLAYA LA PLATJA 	Girona	Cataluña	4664173	511111	31	Escala (L
PLAYA DE LES MUSCLERES 	Girona	Cataluña	4664900	510180	31	Escala (L
PLAYA DEL REC 	Girona	Cataluña	4664173	510413	31	Escala (L
PLAYA DE GRIFEU 	Girona	Cataluña	4692280	512930	31	Llançà
PLAYA DEL PORT 	Girona	Cataluña	4691249	513288	31	Llançà
PLAYA DE LA FARELLA 	Girona	Cataluña	4690506	513560	31	Llançà
PLAYA DEL CAU DEL LLOP 	Girona	Cataluña	4690060	513525	31	Llançà
PLAYA CALA CANYELLES 	Girona	Cataluña	4617105	490335	31	Lloret de Mar
PLAYA DE LLORET 	Girona	Cataluña	4616421	487525	31	Lloret de Mar
PLAYA DE FENALS 	Girona	Cataluña	4615990	486210	31	Lloret de Mar
PLAYA DE SA BOADELLA 	Girona	Cataluña	4615625	485500	31	Lloret de Mar
PLAYA DE SANTA CRISTINA 	Girona	Cataluña	4615380	485020	31	Lloret de Mar
PLAYA DEL CRIT 	Girona	Cataluña	4635604	514810	31	Mont-ras
PLAYA DE TAMARIU 	Girona	Cataluña	4640840	517325	31	Palafrugell
PLAYA DE LLAFRANC 	Girona	Cataluña	4638183	516240	31	Palafrugell
PLAYA DEL CANADELL 	Girona	Cataluña	4637610	515680	31	Palafrugell
PLAYA DE PORT BO 	Girona	Cataluña	4637576	515454	31	Palafrugell
PLAYA DEL GOLFET 	Girona	Cataluña	4636565	514910	31	Palafrugell
PLAYA DE CASTELL 	Girona	Cataluña	4634695	513050	31	Palamós
PLAYA DE LA FOSCA 	Girona	Cataluña	4634108	511985	31	Palamós
